Time sync: 962 ms
--------------------------------------------------
P: seq 20948, size 812, send_delta 6, trans_delta 3, recv_delta 9
P: seq 20949, size 812, send_delta 6, trans_delta 3, recv_delta 9
RTP TS: 406525741, Frame Size: 25668, Encode 4, Net 11, Wait 12, Decode 5 E2E 32 
P: seq 20950, size 937, send_delta 1, trans_delta 0, recv_delta 1
P: seq 20951, size 937, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20952, size 994, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20953, size 995, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20954, size 906, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20955, size 907, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20956, size 907, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20957, size 907, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20958, size 1007, send_delta 4, trans_delta 1, recv_delta 5
P: seq 20959, size 1008, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20960, size 1008, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20961, size 1008, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20962, size 1122, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20963, size 1123, send_delta 4, trans_delta 3, recv_delta 7
P: seq 20964, size 1123, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20965, size 1084, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20966, size 1084, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20967, size 1084, send_delta 5, trans_delta 4, recv_delta 9
P: seq 20968, size 1085, send_delta 5, trans_delta 4, recv_delta 9
P: seq 20969, size 963, send_delta 6, trans_delta 3, recv_delta 9
P: seq 20970, size 963, send_delta 6, trans_delta 3, recv_delta 9
P: seq 20971, size 963, send_delta 6, trans_delta 4, recv_delta 10
P: seq 20972, size 963, send_delta 6, trans_delta 4, recv_delta 10
P: seq 20973, size 1077, send_delta 6, trans_delta 4, recv_delta 10
P: seq 20974, size 1078, send_delta 6, trans_delta 5, recv_delta 11
P: seq 20975, size 1078, send_delta 8, trans_delta 3, recv_delta 11
RTP TS: 406527361, Frame Size: 25139, Encode 4, Net 10, Wait 15, Decode 5 E2E 34 
P: seq 20976, size 898, send_delta 0, trans_delta 2, recv_delta 2
P: seq 20977, size 899, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20978, size 930, send_delta 1, trans_delta 1, recv_delta 2
P: seq 20979, size 931, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20980, size 952, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20981, size 952, send_delta 2, trans_delta 1, recv_delta 3
P: seq 20982, size 952, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20983, size 953, send_delta 2, trans_delta 2, recv_delta 4
P: seq 20984, size 956, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20985, size 956, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20986, size 957, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20987, size 957, send_delta 3, trans_delta 1, recv_delta 4
P: seq 20988, size 916, send_delta 3, trans_delta 2, recv_delta 5
P: seq 20989, size 916, send_delta 3, trans_delta 3, recv_delta 6
P: seq 20990, size 917, send_delta 4, trans_delta 2, recv_delta 6
P: seq 20991, size 917, send_delta 5, trans_delta 1, recv_delta 6
P: seq 20992, size 1051, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20993, size 1051, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20994, size 1051, send_delta 5, trans_delta 2, recv_delta 7
P: seq 20995, size 1051, send_delta 5, trans_delta 3, recv_delta 8
P: seq 20996, size 1007, send_delta 6, trans_delta 2, recv_delta 8
P: seq 20997, size 1007, send_delta 6, trans_delta 2, recv_delta 8
P: seq 20998, size 1008, send_delta 6, trans_delta 3, recv_delta 9
